file,roi,corrtype,hemi,cb_idx,nvoxels,t
perm_vsm4_FEF_lh_pearson_tstat1.nii,FEF,pearson,lh,0.0,901616,0.08
perm_vsm4_FEF_lh_pearson_tstat1.nii,FEF,pearson,lh,1.0,75,9.91
perm_vsm4_FEF_lh_pearson_tstat1.nii,FEF,pearson,lh,2.0,159,11.51
perm_vsm4_FEF_lh_pearson_tstat1.nii,FEF,pearson,lh,3.0,183,11.60
perm_vsm4_FEF_lh_pearson_tstat1.nii,FEF,pearson,lh,4.0,159,8.70
perm_vsm4_FEF_lh_pearson_tstat1.nii,FEF,pearson,lh,5.0,159,11.01
perm_vsm4_FEF_lh_pearson_tstat1.nii,FEF,pearson,lh,6.0,124,11.57
perm_vsm4_FEF_lh_pearson_tstat1.nii,FEF,pearson,lh,7.0,32,10.23
perm_vsm4_FEF_lh_pearson_tstat1.nii,FEF,pearson,lh,8.0,67,8.85
perm_vsm4_FEF_lh_pearson_tstat1.nii,FEF,pearson,lh,9.0,17,9.01
perm_vsm4_FEF_lh_pearson_tstat1.nii,FEF,pearson,lh,10.0,38,8.79
perm_vsm4_FEF_rh_pearson_tstat1.nii,FEF,pearson,rh,0.0,901616,0.05
perm_vsm4_FEF_rh_pearson_tstat1.nii,FEF,pearson,rh,1.0,75,8.29
perm_vsm4_FEF_rh_pearson_tstat1.nii,FEF,pearson,rh,2.0,159,10.14
perm_vsm4_FEF_rh_pearson_tstat1.nii,FEF,pearson,rh,3.0,183,8.86
perm_vsm4_FEF_rh_pearson_tstat1.nii,FEF,pearson,rh,4.0,159,6.82
perm_vsm4_FEF_rh_pearson_tstat1.nii,FEF,pearson,rh,5.0,159,8.57
perm_vsm4_FEF_rh_pearson_tstat1.nii,FEF,pearson,rh,6.0,124,9.44
perm_vsm4_FEF_rh_pearson_tstat1.nii,FEF,pearson,rh,7.0,32,8.27
perm_vsm4_FEF_rh_pearson_tstat1.nii,FEF,pearson,rh,8.0,67,6.81
perm_vsm4_FEF_rh_pearson_tstat1.nii,FEF,pearson,rh,9.0,17,6.52
perm_vsm4_FEF_rh_pearson_tstat1.nii,FEF,pearson,rh,10.0,38,6.22
perm_vsm4_FEF_bilat_pearson_tstat1.nii,FEF,pearson,bilat,0.0,901616,0.08
perm_vsm4_FEF_bilat_pearson_tstat1.nii,FEF,pearson,bilat,1.0,75,10.67
perm_vsm4_FEF_bilat_pearson_tstat1.nii,FEF,pearson,bilat,2.0,159,12.89
perm_vsm4_FEF_bilat_pearson_tstat1.nii,FEF,pearson,bilat,3.0,183,12.19
perm_vsm4_FEF_bilat_pearson_tstat1.nii,FEF,pearson,bilat,4.0,159,9.16
perm_vsm4_FEF_bilat_pearson_tstat1.nii,FEF,pearson,bilat,5.0,159,11.43
perm_vsm4_FEF_bilat_pearson_tstat1.nii,FEF,pearson,bilat,6.0,124,12.31
perm_vsm4_FEF_bilat_pearson_tstat1.nii,FEF,pearson,bilat,7.0,32,10.72
perm_vsm4_FEF_bilat_pearson_tstat1.nii,FEF,pearson,bilat,8.0,67,9.08
perm_vsm4_FEF_bilat_pearson_tstat1.nii,FEF,pearson,bilat,9.0,17,9.05
perm_vsm4_FEF_bilat_pearson_tstat1.nii,FEF,pearson,bilat,10.0,38,8.81
perm_vsm4_FEF_lh_partial_tstat1.nii,FEF,partial,lh,0.0,901616,0.07
perm_vsm4_FEF_lh_partial_tstat1.nii,FEF,partial,lh,1.0,75,8.93
perm_vsm4_FEF_lh_partial_tstat1.nii,FEF,partial,lh,2.0,159,10.22
perm_vsm4_FEF_lh_partial_tstat1.nii,FEF,partial,lh,3.0,183,10.43
perm_vsm4_FEF_lh_partial_tstat1.nii,FEF,partial,lh,4.0,159,7.83
perm_vsm4_FEF_lh_partial_tstat1.nii,FEF,partial,lh,5.0,159,10.04
perm_vsm4_FEF_lh_partial_tstat1.nii,FEF,partial,lh,6.0,124,10.64
perm_vsm4_FEF_lh_partial_tstat1.nii,FEF,partial,lh,7.0,32,9.43
perm_vsm4_FEF_lh_partial_tstat1.nii,FEF,partial,lh,8.0,67,8.14
perm_vsm4_FEF_lh_partial_tstat1.nii,FEF,partial,lh,9.0,17,8.42
perm_vsm4_FEF_lh_partial_tstat1.nii,FEF,partial,lh,10.0,38,8.17
perm_vsm4_FEF_rh_partial_tstat1.nii,FEF,partial,rh,0.0,901616,0.04
perm_vsm4_FEF_rh_partial_tstat1.nii,FEF,partial,rh,1.0,75,6.56
perm_vsm4_FEF_rh_partial_tstat1.nii,FEF,partial,rh,2.0,159,8.06
perm_vsm4_FEF_rh_partial_tstat1.nii,FEF,partial,rh,3.0,183,6.70
perm_vsm4_FEF_rh_partial_tstat1.nii,FEF,partial,rh,4.0,159,5.29
perm_vsm4_FEF_rh_partial_tstat1.nii,FEF,partial,rh,5.0,159,6.64
perm_vsm4_FEF_rh_partial_tstat1.nii,FEF,partial,rh,6.0,124,7.34
perm_vsm4_FEF_rh_partial_tstat1.nii,FEF,partial,rh,7.0,32,6.46
perm_vsm4_FEF_rh_partial_tstat1.nii,FEF,partial,rh,8.0,67,5.26
perm_vsm4_FEF_rh_partial_tstat1.nii,FEF,partial,rh,9.0,17,4.72
perm_vsm4_FEF_rh_partial_tstat1.nii,FEF,partial,rh,10.0,38,4.42
perm_vsm4_IPS0_lh_pearson_tstat1.nii,IPS0,pearson,lh,0.0,901616,0.08
perm_vsm4_IPS0_lh_pearson_tstat1.nii,IPS0,pearson,lh,1.0,75,10.69
perm_vsm4_IPS0_lh_pearson_tstat1.nii,IPS0,pearson,lh,2.0,159,12.77
perm_vsm4_IPS0_lh_pearson_tstat1.nii,IPS0,pearson,lh,3.0,183,12.79
perm_vsm4_IPS0_lh_pearson_tstat1.nii,IPS0,pearson,lh,4.0,159,9.23
perm_vsm4_IPS0_lh_pearson_tstat1.nii,IPS0,pearson,lh,5.0,159,13.29
perm_vsm4_IPS0_lh_pearson_tstat1.nii,IPS0,pearson,lh,6.0,124,13.64
perm_vsm4_IPS0_lh_pearson_tstat1.nii,IPS0,pearson,lh,7.0,32,12.19
perm_vsm4_IPS0_lh_pearson_tstat1.nii,IPS0,pearson,lh,8.0,67,10.23
perm_vsm4_IPS0_lh_pearson_tstat1.nii,IPS0,pearson,lh,9.0,17,9.63
perm_vsm4_IPS0_lh_pearson_tstat1.nii,IPS0,pearson,lh,10.0,38,9.88
perm_vsm4_IPS0_rh_pearson_tstat1.nii,IPS0,pearson,rh,0.0,901616,0.07
perm_vsm4_IPS0_rh_pearson_tstat1.nii,IPS0,pearson,rh,1.0,75,9.35
perm_vsm4_IPS0_rh_pearson_tstat1.nii,IPS0,pearson,rh,2.0,159,11.88
perm_vsm4_IPS0_rh_pearson_tstat1.nii,IPS0,pearson,rh,3.0,183,11.99
perm_vsm4_IPS0_rh_pearson_tstat1.nii,IPS0,pearson,rh,4.0,159,8.70
perm_vsm4_IPS0_rh_pearson_tstat1.nii,IPS0,pearson,rh,5.0,159,13.41
perm_vsm4_IPS0_rh_pearson_tstat1.nii,IPS0,pearson,rh,6.0,124,13.05
perm_vsm4_IPS0_rh_pearson_tstat1.nii,IPS0,pearson,rh,7.0,32,11.77
perm_vsm4_IPS0_rh_pearson_tstat1.nii,IPS0,pearson,rh,8.0,67,9.77
perm_vsm4_IPS0_rh_pearson_tstat1.nii,IPS0,pearson,rh,9.0,17,9.36
perm_vsm4_IPS0_rh_pearson_tstat1.nii,IPS0,pearson,rh,10.0,38,9.46
perm_vsm4_IPS0_bilat_pearson_tstat1.nii,IPS0,pearson,bilat,0.0,901616,0.08
perm_vsm4_IPS0_bilat_pearson_tstat1.nii,IPS0,pearson,bilat,1.0,75,10.77
perm_vsm4_IPS0_bilat_pearson_tstat1.nii,IPS0,pearson,bilat,2.0,159,13.30
perm_vsm4_IPS0_bilat_pearson_tstat1.nii,IPS0,pearson,bilat,3.0,183,13.37
perm_vsm4_IPS0_bilat_pearson_tstat1.nii,IPS0,pearson,bilat,4.0,159,9.78
perm_vsm4_IPS0_bilat_pearson_tstat1.nii,IPS0,pearson,bilat,5.0,159,14.32
perm_vsm4_IPS0_bilat_pearson_tstat1.nii,IPS0,pearson,bilat,6.0,124,14.27
perm_vsm4_IPS0_bilat_pearson_tstat1.nii,IPS0,pearson,bilat,7.0,32,12.72
perm_vsm4_IPS0_bilat_pearson_tstat1.nii,IPS0,pearson,bilat,8.0,67,10.60
perm_vsm4_IPS0_bilat_pearson_tstat1.nii,IPS0,pearson,bilat,9.0,17,10.13
perm_vsm4_IPS0_bilat_pearson_tstat1.nii,IPS0,pearson,bilat,10.0,38,10.32
perm_vsm4_IPS0_lh_partial_tstat1.nii,IPS0,partial,lh,0.0,901616,0.05
perm_vsm4_IPS0_lh_partial_tstat1.nii,IPS0,partial,lh,1.0,75,6.08
perm_vsm4_IPS0_lh_partial_tstat1.nii,IPS0,partial,lh,2.0,159,6.63
perm_vsm4_IPS0_lh_partial_tstat1.nii,IPS0,partial,lh,3.0,183,5.90
perm_vsm4_IPS0_lh_partial_tstat1.nii,IPS0,partial,lh,4.0,159,4.65
perm_vsm4_IPS0_lh_partial_tstat1.nii,IPS0,partial,lh,5.0,159,5.62
perm_vsm4_IPS0_lh_partial_tstat1.nii,IPS0,partial,lh,6.0,124,6.65
perm_vsm4_IPS0_lh_partial_tstat1.nii,IPS0,partial,lh,7.0,32,6.31
perm_vsm4_IPS0_lh_partial_tstat1.nii,IPS0,partial,lh,8.0,67,5.37
perm_vsm4_IPS0_lh_partial_tstat1.nii,IPS0,partial,lh,9.0,17,4.89
perm_vsm4_IPS0_lh_partial_tstat1.nii,IPS0,partial,lh,10.0,38,4.95
perm_vsm4_IPS0_rh_partial_tstat1.nii,IPS0,partial,rh,0.0,901616,0.02
perm_vsm4_IPS0_rh_partial_tstat1.nii,IPS0,partial,rh,1.0,75,2.57
perm_vsm4_IPS0_rh_partial_tstat1.nii,IPS0,partial,rh,2.0,159,3.74
perm_vsm4_IPS0_rh_partial_tstat1.nii,IPS0,partial,rh,3.0,183,4.60
perm_vsm4_IPS0_rh_partial_tstat1.nii,IPS0,partial,rh,4.0,159,2.91
perm_vsm4_IPS0_rh_partial_tstat1.nii,IPS0,partial,rh,5.0,159,6.30
perm_vsm4_IPS0_rh_partial_tstat1.nii,IPS0,partial,rh,6.0,124,5.39
