"","file","roi","corrtype","hemi","cb_idx","nvoxels","t"
"1","perm_vsm4_FEF_lh_pearson_tstat1.nii","FEF","pearson","lh","Unassigned","901616","0.08"
"2","perm_vsm4_FEF_lh_pearson_tstat1.nii","FEF","pearson","lh","right_lVIIIb","75","9.91"
"3","perm_vsm4_FEF_lh_pearson_tstat1.nii","FEF","pearson","lh","right_mVIIIb","159","11.51"
"4","perm_vsm4_FEF_lh_pearson_tstat1.nii","FEF","pearson","lh","left_mVIIIb","183","11.6"
"5","perm_vsm4_FEF_lh_pearson_tstat1.nii","FEF","pearson","lh","left_lVIIIb","159","8.7"
"6","perm_vsm4_FEF_lh_pearson_tstat1.nii","FEF","pearson","lh","left_VIIb","159","11.01"
"7","perm_vsm4_FEF_lh_pearson_tstat1.nii","FEF","pearson","lh","right_VIIb","124","11.57"
"8","perm_vsm4_FEF_lh_pearson_tstat1.nii","FEF","pearson","lh","left_mOMV","32","10.23"
"9","perm_vsm4_FEF_lh_pearson_tstat1.nii","FEF","pearson","lh","left_lOMV","67","8.85"
"10","perm_vsm4_FEF_lh_pearson_tstat1.nii","FEF","pearson","lh","right_mOMV","17","9.01"
"11","perm_vsm4_FEF_lh_pearson_tstat1.nii","FEF","pearson","lh","right_lOMV","38","8.79"
"12","perm_vsm4_FEF_rh_pearson_tstat1.nii","FEF","pearson","rh","Unassigned","901616","0.05"
"13","perm_vsm4_FEF_rh_pearson_tstat1.nii","FEF","pearson","rh","right_lVIIIb","75","8.29"
"14","perm_vsm4_FEF_rh_pearson_tstat1.nii","FEF","pearson","rh","right_mVIIIb","159","10.14"
"15","perm_vsm4_FEF_rh_pearson_tstat1.nii","FEF","pearson","rh","left_mVIIIb","183","8.86"
"16","perm_vsm4_FEF_rh_pearson_tstat1.nii","FEF","pearson","rh","left_lVIIIb","159","6.82"
"17","perm_vsm4_FEF_rh_pearson_tstat1.nii","FEF","pearson","rh","left_VIIb","159","8.57"
"18","perm_vsm4_FEF_rh_pearson_tstat1.nii","FEF","pearson","rh","right_VIIb","124","9.44"
"19","perm_vsm4_FEF_rh_pearson_tstat1.nii","FEF","pearson","rh","left_mOMV","32","8.27"
"20","perm_vsm4_FEF_rh_pearson_tstat1.nii","FEF","pearson","rh","left_lOMV","67","6.81"
"21","perm_vsm4_FEF_rh_pearson_tstat1.nii","FEF","pearson","rh","right_mOMV","17","6.52"
"22","perm_vsm4_FEF_rh_pearson_tstat1.nii","FEF","pearson","rh","right_lOMV","38","6.22"
"23","perm_vsm4_FEF_bilat_pearson_tstat1.nii","FEF","pearson","bilat","Unassigned","901616","0.08"
"24","perm_vsm4_FEF_bilat_pearson_tstat1.nii","FEF","pearson","bilat","right_lVIIIb","75","10.67"
"25","perm_vsm4_FEF_bilat_pearson_tstat1.nii","FEF","pearson","bilat","right_mVIIIb","159","12.89"
"26","perm_vsm4_FEF_bilat_pearson_tstat1.nii","FEF","pearson","bilat","left_mVIIIb","183","12.19"
"27","perm_vsm4_FEF_bilat_pearson_tstat1.nii","FEF","pearson","bilat","left_lVIIIb","159","9.16"
"28","perm_vsm4_FEF_bilat_pearson_tstat1.nii","FEF","pearson","bilat","left_VIIb","159","11.43"
"29","perm_vsm4_FEF_bilat_pearson_tstat1.nii","FEF","pearson","bilat","right_VIIb","124","12.31"
"30","perm_vsm4_FEF_bilat_pearson_tstat1.nii","FEF","pearson","bilat","left_mOMV","32","10.72"
"31","perm_vsm4_FEF_bilat_pearson_tstat1.nii","FEF","pearson","bilat","left_lOMV","67","9.08"
"32","perm_vsm4_FEF_bilat_pearson_tstat1.nii","FEF","pearson","bilat","right_mOMV","17","9.05"
"33","perm_vsm4_FEF_bilat_pearson_tstat1.nii","FEF","pearson","bilat","right_lOMV","38","8.81"
"34","perm_vsm4_FEF_lh_partial_tstat1.nii","FEF","partial","lh","Unassigned","901616","0.07"
"35","perm_vsm4_FEF_lh_partial_tstat1.nii","FEF","partial","lh","right_lVIIIb","75","8.93"
"36","perm_vsm4_FEF_lh_partial_tstat1.nii","FEF","partial","lh","right_mVIIIb","159","10.22"
"37","perm_vsm4_FEF_lh_partial_tstat1.nii","FEF","partial","lh","left_mVIIIb","183","10.43"
"38","perm_vsm4_FEF_lh_partial_tstat1.nii","FEF","partial","lh","left_lVIIIb","159","7.83"
"39","perm_vsm4_FEF_lh_partial_tstat1.nii","FEF","partial","lh","left_VIIb","159","10.04"
"40","perm_vsm4_FEF_lh_partial_tstat1.nii","FEF","partial","lh","right_VIIb","124","10.64"
"41","perm_vsm4_FEF_lh_partial_tstat1.nii","FEF","partial","lh","left_mOMV","32","9.43"
"42","perm_vsm4_FEF_lh_partial_tstat1.nii","FEF","partial","lh","left_lOMV","67","8.14"
"43","perm_vsm4_FEF_lh_partial_tstat1.nii","FEF","partial","lh","right_mOMV","17","8.42"
"44","perm_vsm4_FEF_lh_partial_tstat1.nii","FEF","partial","lh","right_lOMV","38","8.17"
"45","perm_vsm4_FEF_rh_partial_tstat1.nii","FEF","partial","rh","Unassigned","901616","0.04"
"46","perm_vsm4_FEF_rh_partial_tstat1.nii","FEF","partial","rh","right_lVIIIb","75","6.56"
"47","perm_vsm4_FEF_rh_partial_tstat1.nii","FEF","partial","rh","right_mVIIIb","159","8.06"
"48","perm_vsm4_FEF_rh_partial_tstat1.nii","FEF","partial","rh","left_mVIIIb","183","6.7"
"49","perm_vsm4_FEF_rh_partial_tstat1.nii","FEF","partial","rh","left_lVIIIb","159","5.29"
"50","perm_vsm4_FEF_rh_partial_tstat1.nii","FEF","partial","rh","left_VIIb","159","6.64"
"51","perm_vsm4_FEF_rh_partial_tstat1.nii","FEF","partial","rh","right_VIIb","124","7.34"
